open_idx,close_idx,side,entry_price,close_price,qty,pnl_usd,pnl_pct,close_reason,confluence_score,duration_candles
0,2,SHORT,83609.6,81699.30714285714,0.00011960349050826698,0.22447769360729672,0.11223884680364836,TP,4,2
0,4,SHORT,3.031,2.8792857142857144,4.948861761794787,0.7448130272894375,0.24827100909647917,TP,5,4
0,3,SHORT,812.98,827.7228571428572,0.012300425594725578,-0.1853434173393827,-0.09267170866969135,SL,4,3
0,2,SHORT,0.06281,0.06431,159.21031682853047,-0.24281547524279593,-0.12140773762139796,SL,4,2
0,2,SHORT,128.5,123.78999999999999,0.038910505836575876,0.1812684824902727,0.1812684824902727,TP,3,2
0,4,SHORT,2740.49,2803.5449999999996,0.003648982481235108,-0.23408659035427914,-0.11704329517713957,SL,4,4
0,4,SHORT,4.107,3.8366785714285716,2.4348672997321645,0.6541968068454556,0.3270984034227278,TP,4,4
0,6,SHORT,0.53,0.5395,18.867924528301884,-0.18324528301886703,-0.09162264150943351,SOFT_EXIT,4,6
0,11,SHORT,0.1416,0.13554642857142857,70.62146892655367,0.4235121065375308,0.2117560532687654,TP,4,11
0,2,SHORT,532.29,485.52428571428567,0.018786751582783822,0.874575856877159,0.4372879284385795,TP,4,2
0,1,LONG,0.01814,0.017576428571428573,275.63395810363835,-0.15733942353126437,-0.15733942353126437,SL,3,1
0,2,LONG,0.5489,0.5353928571428572,9.10912734560029,-0.12503828436092937,-0.12503828436092937,SL,3,2
0,19,SHORT,84206.7,84689.4,5.9377697974151706e-05,-0.03066161481212286,-0.03066161481212286,SOFT_EXIT,3,19
0,19,SHORT,2746.4,2769.06,0.0018205651034080977,-0.04325400524322723,-0.04325400524322723,SOFT_EXIT,3,19
0,8,LONG,0.224,0.23385714285714285,66.96428571428571,0.6540765306122438,0.21802551020408126,TP,5,8
0,2,LONG,86315.2,85719.03571428571,0.00011585444973770552,-0.07306828527470098,-0.03653414263735049,SL,4,2
0,1,LONG,0.291,0.2785714285714285,34.36426116838488,-0.43109867452135586,-0.21554933726067793,SL,4,1
0,3,LONG,0.4119,0.40709999999999996,24.277737314882252,-0.12053313911143546,-0.06026656955571773,SL,4,3
0,10,SHORT,31.162,31.991285714285713,0.3209036647198511,-0.27012082481410493,-0.13506041240705247,SL,4,10
0,1,LONG,130.68,132.80035714285717,0.03826140189776553,0.07912783680965561,0.07912783680965561,TP,3,1
0,1,SHORT,3.829,3.8771428571428572,1.3058239749281797,-0.0648660970786851,-0.0648660970786851,SL,3,1
0,1,LONG,13.406,13.321071428571429,0.7459346561241235,-0.06735116472368469,-0.03367558236184234,SL,4,1
0,2,SHORT,1.861,1.822,5.373455131649651,0.20556475013433598,0.10278237506716799,TP,4,2
0,8,LONG,299.16,294.045,0.033426928733787935,-0.1749787404733256,-0.0874893702366628,SL,4,8
0,7,SHORT,1.9574,2.038721428571429,5.108817819556554,-0.4194563633975108,-0.2097281816987554,SL,4,7
0,24,LONG,0.0041604,0.0041981,3605.4225555235075,0.1299244303432358,0.04330814344774527,TIMEOUT,5,24
0,2,SHORT,2.279,2.3090714285714284,4.3878894251864855,-0.13595010342882197,-0.06797505171441098,SL,4,2
0,2,LONG,86701.7,87742.06785714286,5.766899610964952e-05,0.05799696990617605,0.05799696990617605,TP,3,2
0,1,LONG,2804.75,2850.9167857142857,0.0017826900793297086,0.08030107088739755,0.08030107088739755,TP,3,1
0,2,LONG,2.0907,2.0638642857142857,2.3915435021763045,-0.06617877812625986,-0.06617877812625986,SL,3,2
0,3,LONG,580.69,563.9864285714286,0.008610446193321738,-0.14582520302202054,-0.14582520302202054,SL,3,3
0,5,LONG,3.957,3.8817142857142857,1.2635835228708618,-0.09712978807899189,-0.09712978807899189,SL,3,5
0,4,LONG,0.06615,0.065415,151.17157974300832,-0.11511111111111105,-0.057555555555555526,SL,4,4
0,2,LONG,171.22,175.38357142857143,0.029202196005139586,0.11958542893854193,0.11958542893854193,TP,3,2
0,7,SHORT,0.24,0.24578571428571427,20.833333333333336,-0.12253571428571425,-0.12253571428571425,SL,3,7
0,1,SHORT,1.5277,1.5607857142857144,9.818681678339988,-0.33085809667193544,-0.11028603222397848,SL,5,1
0,1,SHORT,0.5512,0.5524,27.213352685050797,-0.03865602322206038,-0.012885341074020127,SOFT_EXIT,5,1
0,5,LONG,295.06,289.2557142857143,0.03389141191622043,-0.2007154380222903,-0.10035771901114515,SL,4,5
0,19,SHORT,1.9288,1.8467928571428573,5.184570717544587,0.4211718314866379,0.21058591574331895,TP,4,19
0,6,LONG,0.0045403,0.0044631428571428565,2202.4976323150454,-0.17393842445905167,-0.08696921222952583,SL,4,6
0,1,LONG,3.935,3.976,1.2706480304955527,0.050096569250317566,0.050096569250317566,SOFT_EXIT,3,1
0,1,LONG,34.348,33.565,0.29113776639105626,-0.2319608710841974,-0.1159804355420987,SL,4,1
0,6,SHORT,1.849,1.8787857142857143,5.408328826392645,-0.1650909371861239,-0.08254546859306194,SL,4,6
0,16,LONG,13.914,13.7605,0.7187005893344832,-0.11432054046284268,-0.05716027023142134,SL,4,16
0,4,SHORT,87358.5,86531.28214285715,0.00011447082997075271,0.09069231467376983,0.045346157336884914,TP,4,4
0,1,LONG,0.06656,0.06601357142857142,150.24038461538464,-0.08609563873626394,-0.04304781936813197,SL,4,1
0,1,SHORT,2927.65,2934.85,0.005123563267467081,-0.04288965552576205,-0.014296551841920684,SOFT_EXIT,5,1
0,1,SHORT,135.98,137.49642857142857,0.11031033975584646,-0.1732777509297592,-0.057759250309919734,SL,5,1
0,4,LONG,13.94,14.099107142857143,1.0760401721664277,0.16520567739290914,0.05506855913096972,TP,5,4
0,1,SHORT,2.171,2.1986714285714286,4.60617227084293,-0.1314593669803261,-0.06572968349016305,SL,4,1
0,1,SHORT,1.4826,1.5114214285714285,6.7449075947659525,-0.19839787246343288,-0.09919893623171644,SL,4,1
0,4,SHORT,499.28,513.8778571428571,0.010014420765902901,-0.14818908370911266,-0.14818908370911266,SL,3,4
0,2,LONG,87672.6,86858.68571428572,0.0001140607213656262,-0.09683565055835996,-0.04841782527917998,SL,4,2
0,11,SHORT,1.8781,1.8370214285714286,5.324530110217773,0.21472409045616056,0.10736204522808028,TP,4,11
0,1,LONG,502.76,504.25,0.009945103031267404,0.012818203516588522,0.012818203516588522,SOFT_EXIT,3,1
0,12,LONG,0.0736,0.07264285714285715,135.8695652173913,-0.13404658385093082,-0.06702329192546541,SL,4,12
0,2,LONG,0.256,0.2502142857142857,39.0625,-0.2300044642857142,-0.1150022321428571,SL,4,2
0,1,LONG,34.56,33.95357142857143,0.14467592592592593,-0.08973561507936532,-0.08973561507936532,SL,3,1
0,1,SHORT,1.8072,1.8265214285714284,5.533421868083223,-0.11091361537975039,-0.055456807689875195,SL,4,1
0,2,SHORT,0.06625,0.06676928571428573,75.47169811320754,-0.04119137466307336,-0.04119137466307336,SL,3,2
0,2,LONG,13.994,13.963,0.35729598399313994,-0.013076175503787547,-0.013076175503787547,SOFT_EXIT,3,2
0,1,SHORT,0.01807,0.018314999999999998,553.4034311012729,-0.13958384061981113,-0.06979192030990557,SL,4,1
0,1,SHORT,0.0711,0.07182857142857142,140.64697609001408,-0.10647136829415271,-0.053235684147076356,SL,4,1
0,1,LONG,0.0044662,0.004543803571428572,1119.5199498455063,0.08487874639354694,0.08487874639354694,TP,3,1
0,1,SHORT,895.22,897.2,0.011170438551417528,-0.026117468331806906,-0.013058734165903453,SOFT_EXIT,4,1
0,1,SHORT,187.5,185.65,0.08,0.14199999999999954,0.04733333333333318,SOFT_EXIT,5,1
0,3,LONG,0.6587,0.6507857142857142,22.772126916654017,-0.18622511874037717,-0.062075039580125724,SL,5,3
0,5,LONG,3020.64,3068.493214285714,0.0016552783516076064,0.07721038966198278,0.07721038966198278,TP,3,5
0,4,SHORT,0.2808,0.28713571428571427,17.806267806267808,-0.11481542531542518,-0.11481542531542518,SL,3,4
0,11,LONG,13.491,13.3455,1.1118523460084502,-0.1677745163442297,-0.05592483878140991,SL,5,11
0,5,LONG,0.0695,0.07064428571428572,143.88489208633092,0.1606454265159293,0.08032271325796465,TP,4,5
0,10,SHORT,0.2793,0.2849428571428571,35.80379520229145,-0.20603570149864364,-0.10301785074932182,SL,4,10
0,5,LONG,0.6479,0.6567392857142857,23.151720944590213,0.19864467620664567,0.06621489206888188,TP,5,5
0,2,SHORT,34.705,35.140142857142855,0.28814291888776833,-0.12938333299030602,-0.06469166649515301,SL,4,2
0,18,LONG,0.0046735,0.0047754892857142855,2139.7239756071467,0.2142289198979048,0.1071144599489524,TP,4,18
